path,breed,split
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11819.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6670.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_7694.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13710.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6869.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_735.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8050.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10437.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12973.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_7065.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3032.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13211.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13567.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12391.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8949.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8071.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4839.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6414.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2748.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6310.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13553.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2157.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4086.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3026.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11345.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4433.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2911.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12819.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8856.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3730.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13453.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6842.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3409.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_1446.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12003.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6069.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10439.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11365.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11759.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13654.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12913.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10225.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12938.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11279.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8099.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12272.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_9822.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_1387.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2327.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8048.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_1581.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11835.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4130.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11614.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10859.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11875.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8695.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_5186.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12676.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6965.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3246.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4542.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_6796.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3972.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_5361.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2894.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3841.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_641.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11811.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_2383.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_4457.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_8621.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3001.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11663.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13782.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12579.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_1844.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_1966.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_12025.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_946.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_10986.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_5522.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_11283.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13590.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_13060.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\affenpinscher\n02110627_3144.jpg,affenpinscher,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5285.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7146.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1592.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13011.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_791.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1924.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_732.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3613.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5855.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_251.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2879.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1222.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3620.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5150.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_305.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_6690.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_908.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5080.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3051.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2803.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2626.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4219.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_9220.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1410.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3588.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_231.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3749.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3159.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_10263.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4450.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1406.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3989.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7131.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7229.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_8290.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1270.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_342.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3858.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3629.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2726.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2292.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13907.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3982.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4768.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2545.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4049.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3793.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2738.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5517.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_12563.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_472.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_8465.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1023.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13442.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2641.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4426.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2798.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3593.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_8764.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_515.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7636.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1618.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13879.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_986.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4467.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3641.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_11182.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1917.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_713.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_6485.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5504.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1907.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3080.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_8315.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_899.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1357.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5326.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3400.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2458.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5355.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3075.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1335.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7260.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1167.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3119.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5436.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4420.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4230.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13270.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4501.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4314.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1459.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_7683.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4635.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3201.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_10982.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5345.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_93.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_6493.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4290.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1534.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_6430.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4870.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3059.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1126.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4521.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2131.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2700.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_10832.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1128.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2173.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3531.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4352.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3937.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4583.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_11172.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_357.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_12879.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1823.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_13145.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_1234.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4396.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4497.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_482.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_2062.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_3856.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_4114.jpg,afghan_hound,train
C:\Users\user\Documents\GitHub\find_breed\dog_breed_dataset\afghan_hound\n02088094_5265.jpg,afghan_hound,train
